CHT;Abstracte begrippen
ABR;Abstracte begrippen
AAT;Abstracte begrippen
Brinkman;Abstracte begrippen
Eurovoc;Abstracte begrippen
Iconclass;Abstracte begrippen
Indisch Erfgoed Thesaurus;Abstracte begrippen
Koloniaal Verleden;Abstracte begrippen
Muziekweb: genres en stijlen;Abstracte begrippen
Muziekschatten: onderwerpen;Abstracte begrippen
Thesaurus Nationaal Museum van Wereldculturen;Abstracte begrippen
Uitvoeringsmedium;Abstracte begrippen
WO2-thesaurus;Abstracte begrippen
GTAA: classificatie;Abstracte begrippen
GTAA: onderwerpen;Abstracte begrippen
GTAA: genres;Abstracte begrippen
GTAA: onderwerpen beeld-geluid;Abstracte begrippen
CHT;Activiteiten
AAT;Activiteiten
CHT;Fysieke kenmerken
AAT;Fysieke kenmerken
WO2-thesaurus;Gebeurtenissen
Adamlink;Geografisch
Brinkman;Geografisch
Eurovoc;Geografisch
Geonames;Geografisch
Goudse straten;Geografisch
Indisch Erfgoed Thesaurus;Geografisch
Koloniaal Verleden;Geografisch
Wikidata;Geografisch
Wikidata;Geografisch
WO2-thesaurus;Geografisch
GTAA: geografische namen;Geografisch
CHT;Materialen
ABR;Materialen
AAT;Materialen
Koloniaal Verleden;Materialen
Thesaurus Nationaal Museum van Wereldculturen;Materialen
CHT;Mensen, groepen en organisaties
AAT;Mensen, groepen en organisaties
Eurovoc;Mensen, groepen en organisaties
Indisch Erfgoed Thesaurus;Mensen, groepen en organisaties
Koloniaal Verleden;Mensen, groepen en organisaties
Muziekweb: personen en groepen;Mensen, groepen en organisaties
Muziekschatten: personen;Mensen, groepen en organisaties
NTA;Mensen, groepen en organisaties
RKD Artists;Mensen, groepen en organisaties
STCN;Mensen, groepen en organisaties
Wikidata;Mensen, groepen en organisaties
WO2-biografieën;Mensen, groepen en organisaties
WO2-thesaurus;Mensen, groepen en organisaties
GTAA: namen;Mensen, groepen en organisaties
GTAA: persoonsnamen;Mensen, groepen en organisaties
CHT;Objecten
ABR;Objecten
AAT;Objecten
Brabantse Gebouwen;Objecten
Indisch Erfgoed Thesaurus;Objecten
Rijksmonumentenregister;Objecten
Thesaurus Nationaal Museum van Wereldculturen;Objecten
Uitvoeringsmedium;Objecten
CHT;Organismen
AAT;Organismen
CHT;Periodes
ABR;Periodes
AAT;Periodes
CHT;Stijlen
AAT;Stijlen
CHT;Technieken
ABR;Technieken
Thesaurus Nationaal Museum van Wereldculturen;Technieken
